Car_Name,Year,Selling_Price,Present_Price,Kms_Driven,Transmission,Owner,Fuel_Type_CNG,Fuel_Type_Diesel,Fuel_Type_Petrol,Seller_Type_Dealer,Seller_Type_Individual,Price_Category
ritz,0.12889700346071423,0.09312320916905445,0.0571087993064586,-0.2562244610375879,0.0,0,0.0,0.0,1.0,1.0,0.0,1
sx4,-0.217513693340034,0.1332378223495702,0.09991330732553098,0.1559105027720208,0.0,0,0.0,1.0,0.0,1.0,0.0,1
ciaz,1.168129093862959,0.20487106017191978,0.10327264846120503,-0.7739690093234088,0.0,0,0.0,0.0,1.0,1.0,0.0,2
wagon r,-0.9103350869415304,0.07879656160458454,0.041504117902037285,-0.8177583492281797,0.0,0,0.0,0.0,1.0,1.0,0.0,1
swift,0.12889700346071423,0.12893982808022922,0.07097962722149978,0.14174336339106547,0.0,0,0.0,1.0,0.0,1.0,0.0,1
vitara brezza,1.514539790663707,0.26217765042979946,0.10305591677503251,-0.8983564930881963,0.0,0,0.0,1.0,0.0,1.0,0.0,2
ciaz,0.47530770026146246,0.19054441260744986,0.08452535760728218,-0.46754666373096476,0.0,0,0.0,0.0,1.0,1.0,0.0,2
s cross,0.47530770026146246,0.18338108882521492,0.08983528391850888,-0.09062348089183953,0.0,0,0.0,1.0,0.0,1.0,0.0,2
ciaz,0.8217183970622106,0.24785100286532952,0.09286952752492415,-0.42950145488429026,0.0,0,0.0,1.0,0.0,1.0,0.0,2
ciaz,0.47530770026146246,0.21060171919770776,0.09319462505418293,0.13960541326630313,0.0,0,0.0,1.0,0.0,1.0,0.0,2
alto 800,1.168129093862959,0.07879656160458454,0.035543996532293023,-0.8967079532329579,0.0,0,0.0,0.0,1.0,1.0,0.0,1
ciaz,0.47530770026146246,0.19340974212034384,0.10901603814477678,0.3619779846768251,0.0,0,0.0,1.0,0.0,1.0,0.0,2
ciaz,0.47530770026146246,0.21203438395415475,0.10424794104898136,-0.5653256838947944,1.0,0,0.0,0.0,1.0,1.0,0.0,2
ertiga,0.47530770026146246,0.17191977077363899,0.08008235804074555,-0.28198289627568845,0.0,0,0.0,0.0,1.0,1.0,0.0,2
dzire,-1.603156480543027,0.06160458452722064,0.0746640658864326,1.042696152714108,0.0,0,0.0,0.0,1.0,1.0,0.0,1
ertiga,0.8217183970622106,0.2191977077363897,0.11345903771131338,0.1559105027720208,0.0,0,0.0,1.0,0.0,1.0,0.0,2
ertiga,0.47530770026146246,0.20487106017191978,0.11345903771131338,0.12185785138725186,0.0,0,0.0,1.0,0.0,1.0,0.0,2
ertiga,0.8217183970622106,0.2191977077363897,0.11345903771131338,0.1559105027720208,0.0,0,0.0,1.0,0.0,1.0,0.0,2
wagon r,0.47530770026146246,0.09025787965616047,0.05169050715214564,-0.03727776151373329,0.0,0,1.0,0.0,0.0,1.0,0.0,1
sx4,-1.2567457837422786,0.07306590257879657,0.08300823580407456,0.11577886067106014,0.0,0,0.0,0.0,1.0,1.0,0.0,1
alto k10,0.8217183970622106,0.07879656160458454,0.0393368010403121,-0.307741331513789,0.0,0,0.0,0.0,1.0,1.0,0.0,1
ignis,1.168129093862959,0.1375358166189112,0.05840918942349371,-0.8898819678948613,0.0,0,0.0,0.0,1.0,1.0,0.0,1
sx4,-0.9103350869415304,0.12320916905444129,0.08333333333333333,0.33621954943872456,1.0,0,0.0,0.0,1.0,1.0,0.0,1
alto k10,0.12889700346071423,0.0687679083094556,0.034026874729085395,0.21463973511489,0.0,0,0.0,0.0,1.0,1.0,0.0,1
wagon r,-0.217513693340034,0.08022922636103152,0.044321629822280016,0.5134118254416182,0.0,0,0.0,0.0,1.0,1.0,0.0,1
swift,-0.9103350869415304,0.08309455587392552,0.05060684872128306,-0.4365335077042917,0.0,0,0.0,0.0,1.0,1.0,0.0,1
swift,-0.217513693340034,0.11604584527220632,0.06014304291287387,0.4685663896920852,0.0,0,0.0,0.0,1.0,1.0,0.0,1
swift,1.168129093862959,0.169054441260745,0.06686172518422194,-0.5344155616090738,0.0,0,0.0,0.0,1.0,0.0,1.0,2
alto k10,-1.2567457837422786,0.05300859598853868,0.0393368010403121,0.19563000990917181,0.0,0,0.0,0.0,1.0,1.0,0.0,1
ciaz,0.47530770026146246,0.21060171919770776,0.10901603814477678,0.20742737324822186,0.0,0,0.0,1.0,0.0,1.0,0.0,2
ritz,-0.5639243901407822,0.08595988538681949,0.06133506718682272,0.37328593774635127,0.0,0,0.0,1.0,0.0,1.0,0.0,1
ritz,-0.9103350869415304,0.06446991404011462,0.04952319029042045,0.44440497743874685,0.0,0,0.0,0.0,1.0,1.0,0.0,1
swift,0.12889700346071423,0.1389684813753582,0.07769830949284785,0.0528767618196186,0.0,0,0.0,1.0,0.0,1.0,0.0,1
ertiga,0.12889700346071423,0.169054441260745,0.10435630689206761,0.20742737324822186,0.0,0,0.0,1.0,0.0,1.0,0.0,2
dzire,0.12889700346071423,0.1547277936962751,0.08387516254876463,0.20742737324822186,0.0,0,0.0,1.0,0.0,1.0,0.0,2
sx4,-0.9103350869415304,0.08166189111747853,0.08040745557000434,0.3361680325682484,0.0,0,1.0,0.0,0.0,1.0,0.0,1
dzire,0.47530770026146246,0.13037249283667623,0.07455570004334634,0.3044593987901466,0.0,0,0.0,0.0,1.0,1.0,0.0,1
800,-3.6816206613475164,0.0071633237822349575,0.021239705244906804,2.319619062772466,0.0,0,0.0,0.0,1.0,0.0,1.0,0
alto k10,0.8217183970622106,0.08309455587392552,0.037277850021673165,-0.6920829437014872,0.0,0,0.0,0.0,1.0,1.0,0.0,1
sx4,-3.6816206613475164,0.06160458452722064,0.08300823580407456,0.6453207722959311,0.0,0,0.0,0.0,1.0,1.0,0.0,1
baleno,0.8217183970622106,0.16475644699140402,0.08181621153012571,-0.32000234668712485,1.0,0,0.0,0.0,1.0,1.0,0.0,2
alto k10,0.12889700346071423,0.07020057306590258,0.03966189856957087,0.25137126376442137,0.0,0,0.0,0.0,1.0,1.0,0.0,1
sx4,-1.949567177343775,0.05300859598853868,0.07401387082791505,0.542287031343529,0.0,0,0.0,0.0,1.0,1.0,0.0,1
dzire,0.12889700346071423,0.1547277936962751,0.08387516254876463,0.2275189527339403,0.0,0,0.0,1.0,0.0,1.0,0.0,2
omni,-0.5639243901407822,0.032951289398280806,0.025682704811443434,0.33621954943872456,0.0,0,0.0,0.0,1.0,1.0,0.0,0
ciaz,0.12889700346071423,0.21203438395415475,0.1270047680970958,-0.5653256838947944,1.0,0,0.0,0.0,1.0,1.0,0.0,2
ritz,-0.217513693340034,0.07306590257879657,0.04952319029042045,0.7105411303188016,0.0,0,0.0,0.0,1.0,1.0,0.0,1
wagon r,-2.6423885709452715,0.027220630372492838,0.041504117902037285,0.7225960780102327,0.0,0,0.0,0.0,1.0,1.0,0.0,0
ertiga,0.47530770026146246,0.16332378223495703,0.08008235804074555,-0.2853314928566415,0.0,0,0.0,0.0,1.0,1.0,0.0,2
ciaz,1.168129093862959,0.2191977077363897,0.0972041612483745,0.0013598913434175208,1.0,0,0.0,0.0,1.0,1.0,0.0,2
fortuner,-0.5639243901407822,0.4240687679083095,0.3282401387082791,1.745386266009491,1.0,0,0.0,1.0,0.0,1.0,0.0,2
fortuner,0.47530770026146246,0.6561604584527221,0.3282401387082791,0.07863519705771915,1.0,0,0.0,1.0,0.0,1.0,0.0,2
innova,1.168129093862959,0.512893982808023,0.21077156480277418,-0.5653256838947944,1.0,0,0.0,1.0,0.0,1.0,0.0,2
fortuner,-0.217513693340034,0.4555873925501433,0.3282401387082791,2.5256865446772707,1.0,0,0.0,1.0,0.0,0.0,1.0,2
innova,-2.98879926774602,0.07593123209169056,0.10717381881231038,1.3665569589627462,0.0,0,0.0,0.0,1.0,0.0,1.0,1
